variant,n_paired,acc_14B,acc_72B,acc_diff(72B-14B),ci_lo,ci_hi,ssc_14B,ssc_72B
V0,398,0.41708542713567837,0.43467336683417085,0.017587939698492483,-0.027638190954773878,0.06281407035175884,0.7682785274804819,0.8547918241370623
V1,398,0.457286432160804,0.4648241206030151,0.007537688442211088,-0.03768844221105533,0.05276381909547739,0.8057447703143067,0.8216579624995467
V2,398,0.23115577889447236,0.3944723618090452,0.16331658291457285,0.11306532663316582,0.21608040201005024,0.9730201935603947,0.966887321221492
