model,variant,Contingency Table Test,Correlation Analysis,Descriptive Statistics,Distribution Compliance Test,Variance Test
14B,V0,0.5802469135802469,0.34285714285714286,0.5555555555555556,0.0728476821192053,0.7459016393442623
14B,V1,0.6790123456790124,0.4,0.3333333333333333,0.1390728476821192,0.7295081967213115
14B,V2,0.2345679012345679,0.42857142857142855,0.3333333333333333,0.13245033112582782,0.28688524590163933
14B,V3,0.2345679012345679,0.2857142857142857,0.3333333333333333,0.09271523178807947,0.09016393442622951
14B,V4,0.5308641975308642,0.11428571428571428,0.1111111111111111,0.1390728476821192,0.6967213114754098
72B,V0,0.5061728395061729,0.08571428571428572,0.2222222222222222,0.10596026490066225,0.9098360655737705
72B,V1,0.6049382716049383,0.11428571428571428,0.1111111111111111,0.1390728476821192,0.9016393442622951
72B,V2,0.24691358024691357,0.17142857142857143,0.2222222222222222,0.2052980132450331,0.8032786885245902
