model,variant,n,overall_accuracy,methods_accuracy,columns_accuracy,invalid_rate,over_selection_rate,under_selection_rate,over_sel_rate_among_errors,mean_ssc,mean_drop_rate,mean_add_rate_in,mean_add_rate_out,mean_pred_methods,selfcheck_change_rate
14B,V0,398,0.41708542713567837,0.4296482412060301,0.9798994974874372,0.0,0.49246231155778897,0.11557788944723618,0.8448275862068966,0.7682785274804819,0.22858211747100635,0.12238046044864226,0.2807788944723618,2.613065326633166,
14B,V1,398,0.457286432160804,0.4623115577889447,0.9899497487437185,0.0,0.4723618090452261,0.11306532663316583,0.8703703703703703,0.8057447703143067,0.21423739304174086,0.06332046332046333,0.30607202680066997,2.648241206030151,
14B,V2,398,0.23115577889447236,0.23366834170854273,0.9874371859296482,0.0,0.7311557788944724,0.18090452261306533,0.9509803921568627,0.9730201935603947,0.04721105833637803,0.0013454011741682974,0.0025380710659898475,2.92964824120603,
14B,V3,398,0.14321608040201006,0.14321608040201006,0.9824120603015075,0.0,0.8492462311557789,0.032663316582914576,0.9912023460410557,0.9577749860413177,0.061255411255411264,0.010367801909531044,0.0,3.399497487437186,
14B,V4,398,0.3869346733668342,0.38944723618090454,0.9773869346733668,0.0,0.4748743718592965,0.2914572864321608,0.7745901639344263,,,,,2.3668341708542715,0.36683417085427134
72B,V0,398,0.43467336683417085,0.4396984924623116,0.9874371859296482,0.0,0.4798994974874372,0.12562814070351758,0.8488888888888889,0.8547918241370623,0.11220568783068784,0.13278533635676493,0.06469849246231156,2.5979899497487438,
72B,V1,398,0.4648241206030151,0.4723618090452261,0.9874371859296482,0.0,0.42462311557788945,0.1407035175879397,0.7934272300469484,0.8216579624995467,0.1957301186467853,0.05051020408163265,0.3473618090452261,2.562814070351759,
72B,V2,398,0.3944723618090452,0.3969849246231156,0.9949748743718593,0.0,0.4949748743718593,0.17839195979899497,0.8174273858921162,0.966887321221492,0.03821144928015157,0.0,0.0,2.487437185929648,
